Cname	Genome	ClusterID	Genome_type	Length	N_contigs	Spe_Rep	Str_Rep	rank	coverage	nstrains
MGYG000001300	MGYG000001300	11	Isolate	3126983	29	True	True	1.0	11	4
MGYG000001300	MGYG000029665	32	Isolate	3310507	99	False	True	2.0	23	4
MGYG000001300	MGYG000006106	221	MAG	3274639	45	False	True	3.0	10	4
MGYG000001300	MGYG000011921	315	Isolate	2940128	96	False	True	4.0	22	4
MGYG000002545	MGYG000002545	162	Isolate	2833887	1	True	True	1.0	10	4
MGYG000002545	MGYG000161032	14	MAG	2589306	22	False	True	2.0	5	4
MGYG000002545	MGYG000067694	18	Isolate	3025372	84	False	True	3.0	10	4
MGYG000002545	MGYG000060819	10	MAG	2576022	43	False	True	4.0	23	4
MGYG000000212	MGYG000000212	45	Isolate	3683307	36	True	True	1.0	23	4
MGYG000000212	MGYG000071756	35	Isolate	3755110	40	False	True	2.0	12	4
MGYG000000212	MGYG000082710	5	Isolate	3889204	35	False	True	3.0	21	4
MGYG000000212	MGYG000146993	29	Isolate	3808098	49	False	True	4.0	11	4
MGYG000002492	MGYG000002492	96	Isolate	3449685	1	True	True	1.0	15	4
MGYG000002492	MGYG000078292	34	MAG	2988481	26	False	True	2.0	22	4
MGYG000002492	MGYG000204845	159	MAG	2808760	56	False	True	3.0	23	4
MGYG000002492	MGYG000006533	222	MAG	2421476	50	False	True	4.0	5	4
MGYG000000146	MGYG000000146	15	Isolate	3357413	33	True	True	1.0	24	4
MGYG000000146	MGYG000037464	0	Isolate	3186031	16	False	True	2.0	7	4
MGYG000000146	MGYG000025996	36	Isolate	3395766	46	False	True	3.0	6	4
MGYG000000146	MGYG000133141	5	Isolate	3408333	61	False	True	4.0	14	4
MGYG000002438	MGYG000002438	20	Isolate	5030699	3	True	True	1.0	10	4
MGYG000002438	MGYG000032808	8	MAG	4841386	23	False	True	2.0	6	4
MGYG000002438	MGYG000225426	10	Isolate	5157107	36	False	True	3.0	17	4
MGYG000002438	MGYG000015151	1	MAG	4774418	43	False	True	4.0	10	4
MGYG000000196	MGYG000195261	1	Isolate	6487685	1	False	True	1.0	19	4
MGYG000000196	MGYG000000196	5	Isolate	6397474	84	True	True	2.0	18	4
MGYG000000196	MGYG000103793	3	Isolate	6560509	47	False	True	3.0	13	4
MGYG000000196	MGYG000112749	4	Isolate	5892028	57	False	True	4.0	11	4
MGYG000001346	MGYG000112172	13	Isolate	4480742	42	False	True	1.0	9	4
MGYG000001346	MGYG000041261	24	MAG	4280312	30	False	True	2.0	6	4
MGYG000001346	MGYG000038970	46	Isolate	4735025	50	False	True	3.0	17	4
MGYG000001346	MGYG000006932	18	Isolate	4909838	80	False	True	4.0	10	4
MGYG000002396	MGYG000002396	2	Isolate	2311342	1	True	True	1.0	24	3
MGYG000002396	MGYG000067967	1	Isolate	2223664	1	False	True	2.0	8	3
MGYG000002396	MGYG000146642	0	Isolate	2178894	1	False	True	3.0	24	3
MGYG000001378	MGYG000225022	11	Isolate	6472489	1	False	True	1.0	13	3
MGYG000001378	MGYG000001378	20	Isolate	6545242	42	True	True	2.0	11	3
MGYG000001378	MGYG000006426	39	Isolate	7335980	71	False	True	3.0	16	3
MGYG000000195	MGYG000000195	0	Isolate	3389403	44	True	True	1.0	14	3
MGYG000000195	MGYG000006888	44	MAG	2824199	12	False	True	2.0	11	3
MGYG000000195	MGYG000179292	56	MAG	2624297	96	False	True	3.0	18	3
MGYG000001338	MGYG000001338	25	Isolate	3930699	3	True	True	1.0	15	3
MGYG000001338	MGYG000010975	24	Isolate	3590502	15	False	True	2.0	18	3
MGYG000001338	MGYG000273626	154	Isolate	4102201	118	False	True	3.0	22	3
MGYG000001315	MGYG000001315	3	Isolate	3238915	46	True	True	1.0	17	3
MGYG000001315	MGYG000187110	2	Isolate	3419244	42	False	True	2.0	17	3
MGYG000001315	MGYG000216666	31	Isolate	3345861	81	False	True	3.0	5	3
MGYG000000038	MGYG000005127	6	Isolate	3322458	46	False	True	1.0	12	3
MGYG000000038	MGYG000120645	0	Isolate	2972286	50	False	True	2.0	9	3
MGYG000000038	MGYG000000038	12	Isolate	3124256	51	True	True	3.0	24	3
MGYG000002478	MGYG000002478	1	Isolate	5444912	1	True	True	1.0	22	3
MGYG000002478	MGYG000072213	18	Isolate	4678894	81	False	True	2.0	20	3
MGYG000002478	MGYG000007036	0	MAG	5061526	87	False	True	3.0	9	3
MGYG000000200	MGYG000143066	3	Isolate	4087845	124	False	True	1.0	8	3
MGYG000000200	MGYG000204911	8	Isolate	4496267	111	False	True	2.0	19	3
MGYG000000200	MGYG000142592	10	Isolate	3930259	101	False	True	3.0	13	3
MGYG000002279	MGYG000086726	33	Isolate	2976030	59	False	True	1.0	15	3
MGYG000002279	MGYG000002279	7	Isolate	3143549	74	True	True	2.0	6	3
MGYG000002279	MGYG000252297	20	Isolate	3408890	59	False	True	3.0	8	3
MGYG000000002	MGYG000015138	0	Isolate	4311184	61	False	True	1.0	15	3
MGYG000000002	MGYG000000002	71	Isolate	4433109	101	True	True	2.0	10	3
MGYG000000002	MGYG000258696	19	Isolate	4244511	109	False	True	3.0	14	3
MGYG000001359	MGYG000001359	0	Isolate	4391094	5	True	True	1.0	21	2
MGYG000001359	MGYG000213752	1	MAG	4264889	339	False	True	2.0	7	2
MGYG000000271	MGYG000059649	0	MAG	3404423	172	False	True	1.0	14	2
MGYG000000271	MGYG000005316	269	MAG	3318143	104	False	True	2.0	5	2
MGYG000000099	MGYG000000099	26	Isolate	4030172	26	True	True	1.0	20	2
MGYG000000099	MGYG000005233	23	MAG	3462365	48	False	True	2.0	17	2
MGYG000003899	MGYG000003899	41	MAG	2460696	50	True	True	1.0	10	2
MGYG000003899	MGYG000132680	28	MAG	2512062	71	False	True	2.0	16	2
MGYG000000142	MGYG000000142	54	Isolate	3538467	28	True	True	1.0	22	2
MGYG000000142	MGYG000021014	11	Isolate	3364711	30	False	True	2.0	12	2
MGYG000000251	MGYG000005594	20	MAG	3321305	32	False	True	1.0	5	2
MGYG000000251	MGYG000152080	36	MAG	2862372	35	False	True	2.0	9	2
MGYG000000084	MGYG000006778	205	MAG	3190904	48	False	True	1.0	16	2
MGYG000000084	MGYG000164526	73	MAG	2378425	72	False	True	2.0	7	2
MGYG000000185	MGYG000006146	71	MAG	2474138	78	False	True	1.0	9	2
MGYG000000185	MGYG000277300	41	MAG	2632244	131	False	True	2.0	13	2
MGYG000000262	MGYG000000262	47	Isolate	3404550	43	True	True	1.0	13	2
MGYG000000262	MGYG000006657	27	MAG	3288936	82	False	True	2.0	13	2
MGYG000002528	MGYG000006741	22	MAG	2368093	159	False	True	1.0	5	2
MGYG000002528	MGYG000077694	32	MAG	2409691	248	False	True	2.0	11	2
MGYG000003452	MGYG000003452	0	MAG	2217592	19	True	True	1.0	8	1
MGYG000000033	MGYG000087716	35	MAG	2254687	24	False	True	1.0	6	1
MGYG000003694	MGYG000005570	145	MAG	3060531	52	False	True	1.0	8	1
MGYG000000193	MGYG000025754	85	MAG	3257931	106	False	True	1.0	23	1
MGYG000000077	MGYG000000077	1	Isolate	3184592	61	True	True	1.0	16	1
